email_id,subject,body,sender_email,sender_domain,claimed_company,company_domain,domain_match,free_or_third_party_domain,has_link,has_attachment,mentions_money,mentions_urgency,mentions_personal_info,job_offer_without_interview,label
11,Application Update – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,careers.cisco@gmail.com,gmail.com,Cisco,cisco.com,0,1,0,0,0,1,0,1,1
12,Assessment Test Required – Software Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",assessment.coordinator@hire-now-careers.com,hire-now-careers.com,Pfizer,pfizer.com,0,1,0,0,1,0,1,0,1
13,Invitation to Interview and Assessment – Cloud Data Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hiring.jobs-adobe@secure-offer-letter.com,secure-offer-letter.com,Adobe,adobe.com,0,1,1,0,0,1,1,0,1
14,Application Update – Business Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",hrinfo.uber@secure-offer-letter.com,secure-offer-letter.com,Uber,uber.com,0,1,0,0,1,0,1,0,1
15,Offer Confirmation – Data Analyst,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hr.department@hire-now-careers.com,hire-now-careers.com,JPMorgan Chase,jpmorgan.com,0,1,0,0,0,1,1,1,1
16,Assessment Test Required – Business Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",careers.goldmansachs@talent-onboard-now.com,talent-onboard-now.com,Goldman Sachs,goldmansachs.com,0,1,0,0,1,0,1,0,1
17,Immediate Hiring – Data Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",hrinfo.stripe@outlook.com,outlook.com,Stripe,stripe.com,0,1,0,0,1,0,1,0,1
18,Final Selection Notice – Software Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,talent.paypal@talent-onboard-now.com,talent-onboard-now.com,PayPal,paypal.com,0,1,0,0,0,1,1,1,1
19,Final Selection Notice – Data Scientist,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@viazohorecruit.com,viazohorecruit.com,Goldman Sachs,goldmansachs.com,0,1,0,1,1,1,0,0,1
20,Assessment Test Required – Machine Learning Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hrinfo.cisco@talent-onboard-now.com,talent-onboard-now.com,Cisco,cisco.com,0,1,1,0,0,1,1,0,1
21,Application Update – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruitment.team@secure-offer-letter.com,secure-offer-letter.com,Netflix,netflix.com,0,1,0,0,0,1,0,1,1
22,Invitation to Interview and Assessment – MLOps Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruitment.team@talent-onboard-now.com,talent-onboard-now.com,SAP,sap.com,0,1,0,0,0,1,0,1,1
23,Application Update – Software Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruitment.team@recruit-portal-mail.com,recruit-portal-mail.com,KPMG,kpmg.com,0,1,0,0,1,0,1,0,1
24,Application Update – Data Scientist,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hiring.jobs-cisco@outlook.com,outlook.com,Cisco,cisco.com,0,1,0,0,0,1,0,1,1
25,Final Selection Notice – AI Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,assessment.coordinator@viazohorecruit.com,viazohorecruit.com,Apple,apple.com,0,1,0,0,0,1,0,1,1
26,Application Update – Cloud Data Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hrinfo.stripe@recruit-portal-mail.com,recruit-portal-mail.com,Stripe,stripe.com,0,1,0,1,1,1,0,0,1
27,Assessment Test Required – Data Scientist,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hiring.jobs-apple@hire-now-careers.com,hire-now-careers.com,Apple,apple.com,0,1,0,1,1,1,0,0,1
28,Assessment Test Required – Platform Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruitment.team@talent-onboard-now.com,talent-onboard-now.com,Goldman Sachs,goldmansachs.com,0,1,1,0,0,1,1,0,1
29,Remote Job Offer – Data Scientist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruitment.team@talent-onboard-now.com,talent-onboard-now.com,Oracle,oracle.com,0,1,1,0,0,1,1,0,1
30,Invitation to Interview and Assessment – AI Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hiring.jobs-lufthansagroup@talent-onboard-now.com,talent-onboard-now.com,Lufthansa Group,lufthansagroup.com,0,1,0,0,0,1,0,1,1
31,Assessment Test Required – Business Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hrinfo.amazon@outlook.com,outlook.com,Amazon,amazon.jobs,0,1,1,0,0,1,1,0,1
32,Assessment Test Required – Machine Learning Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hrinfo.pfizer@hire-now-careers.com,hire-now-careers.com,Pfizer,pfizer.com,0,1,1,0,0,1,1,0,1
33,Assessment Test Required – AI Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",talent.google@yahoo.com,yahoo.com,Google,google.com,0,1,0,0,1,0,1,0,1
34,Immediate Hiring – Cloud Data Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",careers.cisco@outlook.com,outlook.com,Cisco,cisco.com,0,1,0,0,1,0,1,0,1
35,Remote Job Offer – MLOps Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",talent.linkedin@talent-onboard-now.com,talent-onboard-now.com,LinkedIn,linkedin.com,0,1,0,0,1,0,1,0,1
36,Invitation to Interview and Assessment – Machine Learning Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@recruit-portal-mail.com,recruit-portal-mail.com,Google,google.com,0,1,0,1,1,1,0,0,1
37,Assessment Test Required – Machine Learning Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hr.department@gmail.com,gmail.com,Stripe,stripe.com,0,1,1,0,0,1,1,0,1
38,Invitation to Interview and Assessment – Platform Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,careers.apple@recruit-portal-mail.com,recruit-portal-mail.com,Apple,apple.com,0,1,0,0,0,1,1,1,1
39,Assessment Test Required – Software Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hr.department@yahoo.com,yahoo.com,Goldman Sachs,goldmansachs.com,0,1,0,1,1,1,0,0,1
40,Assessment Test Required – AI Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,recruiting.uber@hire-now-careers.com,hire-now-careers.com,Uber,uber.com,0,1,0,0,0,1,1,1,1
41,Offer Confirmation – AI Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruiting.boeing@secure-offer-letter.com,secure-offer-letter.com,Boeing,boeing.com,0,1,0,0,0,1,0,1,1
42,Remote Job Offer – Platform Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hrinfo.netflix@viazohorecruit.com,viazohorecruit.com,Netflix,netflix.com,0,1,0,1,1,1,0,0,1
43,Remote Job Offer – Software Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hr.department@gmail.com,gmail.com,Airbnb,airbnb.com,0,1,0,1,1,1,0,0,1
44,Immediate Hiring – Business Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,careers.accenture@gmail.com,gmail.com,Accenture,accenture.com,0,1,1,0,0,1,1,0,1
45,Application Update – MLOps Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@gmail.com,gmail.com,Microsoft,microsoft.com,0,1,0,1,1,1,0,0,1
46,Offer Confirmation – Cloud Data Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hr.department@talent-onboard-now.com,talent-onboard-now.com,Boeing,boeing.com,0,1,1,0,0,1,1,0,1
47,Offer Confirmation – Data Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruiting.airbnb@secure-offer-letter.com,secure-offer-letter.com,Airbnb,airbnb.com,0,1,1,0,0,1,1,0,1
48,Remote Job Offer – Machine Learning Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",recruitment.team@outlook.com,outlook.com,Deloitte,deloitte.com,0,1,0,1,1,1,0,0,1
49,Final Selection Notice – Data Scientist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hiring.jobs-accenture@yahoo.com,yahoo.com,Accenture,accenture.com,0,1,1,0,0,1,1,0,1
50,Application Update – AI Operations Generalist,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hiring.jobs-apple@talent-onboard-now.com,talent-onboard-now.com,Apple,apple.com,0,1,0,0,0,1,1,1,1
51,Remote Job Offer – Cloud Data Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hiring.jobs-boeing@yahoo.com,yahoo.com,Boeing,boeing.com,0,1,0,1,1,1,0,0,1
52,Offer Confirmation – AI Operations Generalist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruitment.team@yahoo.com,yahoo.com,Medtronic,medtronic.com,0,1,1,0,0,1,1,0,1
53,Offer Confirmation – AI Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,talent.linkedin@viazohorecruit.com,viazohorecruit.com,LinkedIn,linkedin.com,0,1,0,0,0,1,0,1,1
54,Assessment Test Required – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,talent.netflix@hire-now-careers.com,hire-now-careers.com,Netflix,netflix.com,0,1,0,0,0,1,0,1,1
55,Offer Confirmation – Data Scientist,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hr.department@viazohorecruit.com,viazohorecruit.com,KPMG,kpmg.com,0,1,0,0,0,1,0,1,1
56,Final Selection Notice – MLOps Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hiring.jobs-walmart@secure-offer-letter.com,secure-offer-letter.com,Walmart,walmart.com,0,1,0,0,0,1,1,1,1
57,Assessment Test Required – Machine Learning Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,assessment.coordinator@viazohorecruit.com,viazohorecruit.com,KPMG,kpmg.com,0,1,0,0,0,1,1,1,1
58,Assessment Test Required – Machine Learning Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hiring.jobs-uber@yahoo.com,yahoo.com,Uber,uber.com,0,1,1,0,0,1,1,0,1
59,Assessment Test Required – MLOps Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hr.department@viazohorecruit.com,viazohorecruit.com,Apple,apple.com,0,1,1,0,0,1,1,0,1
60,Assessment Test Required – Platform Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,careers.jpmorganchase@talent-onboard-now.com,talent-onboard-now.com,JPMorgan Chase,jpmorgan.com,0,1,0,0,0,1,1,1,1
61,Invitation to Interview and Assessment – Platform Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,talent.walmart@gmail.com,gmail.com,Walmart,walmart.com,0,1,0,0,0,1,0,1,1
62,Assessment Test Required – Data Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",careers.lufthansagroup@viazohorecruit.com,viazohorecruit.com,Lufthansa Group,lufthansagroup.com,0,1,0,0,1,0,1,0,1
63,Assessment Test Required – Business Analyst,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,talent.accenture@gmail.com,gmail.com,Accenture,accenture.com,0,1,0,0,0,1,1,1,1
64,Assessment Test Required – Platform Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",talent.accenture@gmail.com,gmail.com,Accenture,accenture.com,0,1,0,0,1,0,1,0,1
65,Application Update – Platform Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruitment.team@yahoo.com,yahoo.com,SAP,sap.com,0,1,0,0,1,0,1,0,1
66,Remote Job Offer – Data Scientist,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",recruiting.amazon@outlook.com,outlook.com,Amazon,amazon.jobs,0,1,0,1,1,1,0,0,1
67,Application Update – Data Analyst,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hiring.jobs-ibm@outlook.com,outlook.com,IBM,ibm.com,0,1,0,1,1,1,0,0,1
68,Application Update – Business Analyst,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@yahoo.com,yahoo.com,Goldman Sachs,goldmansachs.com,0,1,0,1,1,1,0,0,1
69,Remote Job Offer – Data Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruiting.microsoft@yahoo.com,yahoo.com,Microsoft,microsoft.com,0,1,0,0,1,0,1,0,1
70,Assessment Test Required – Data Scientist,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruitment.team@hire-now-careers.com,hire-now-careers.com,Meta,meta.com,0,1,0,0,1,0,1,0,1
71,Immediate Hiring – Business Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hrinfo.netflix@hire-now-careers.com,hire-now-careers.com,Netflix,netflix.com,0,1,1,0,0,1,1,0,1
72,Remote Job Offer – Platform Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruitment.team@viazohorecruit.com,viazohorecruit.com,Salesforce,salesforce.com,0,1,0,0,1,0,1,0,1
73,Assessment Test Required – Platform Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",careers.salesforce@outlook.com,outlook.com,Salesforce,salesforce.com,0,1,0,1,1,1,0,0,1
74,Invitation to Interview and Assessment – AI Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,talent.sap@recruit-portal-mail.com,recruit-portal-mail.com,SAP,sap.com,0,1,1,0,0,1,1,0,1
75,Immediate Hiring – Machine Learning Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,talent.lufthansagroup@secure-offer-letter.com,secure-offer-letter.com,Lufthansa Group,lufthansagroup.com,0,1,0,0,0,1,0,1,1
76,Assessment Test Required – Machine Learning Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hr.department@talent-onboard-now.com,talent-onboard-now.com,Oracle,oracle.com,0,1,0,0,0,1,1,1,1
77,Invitation to Interview and Assessment – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,careers.google@secure-offer-letter.com,secure-offer-letter.com,Google,google.com,0,1,0,0,0,1,0,1,1
78,Final Selection Notice – AI Operations Generalist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,careers.intel@recruit-portal-mail.com,recruit-portal-mail.com,Intel,intel.com,0,1,1,0,0,1,1,0,1
79,Invitation to Interview and Assessment – AI Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",assessment.coordinator@outlook.com,outlook.com,Boeing,boeing.com,0,1,0,1,1,1,0,0,1
80,Assessment Test Required – Business Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",hiring.jobs-medtronic@recruit-portal-mail.com,recruit-portal-mail.com,Medtronic,medtronic.com,0,1,0,0,1,0,1,0,1
81,Final Selection Notice – Platform Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hiring.jobs-lufthansagroup@outlook.com,outlook.com,Lufthansa Group,lufthansagroup.com,0,1,0,0,0,1,0,1,1
82,Application Update – AI Operations Generalist,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,talent.intel@recruit-portal-mail.com,recruit-portal-mail.com,Intel,intel.com,0,1,0,0,0,1,0,1,1
83,Immediate Hiring – AI Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",talent.ey@yahoo.com,yahoo.com,EY,ey.com,0,1,0,0,1,0,1,0,1
84,Immediate Hiring – AI Operations Generalist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,hrinfo.cisco@viazohorecruit.com,viazohorecruit.com,Cisco,cisco.com,0,1,1,0,0,1,1,0,1
85,Assessment Test Required – Platform Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruiting.paypal@talent-onboard-now.com,talent-onboard-now.com,PayPal,paypal.com,0,1,0,0,0,1,0,1,1
86,Invitation to Interview and Assessment – MLOps Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruitment.team@talent-onboard-now.com,talent-onboard-now.com,SAP,sap.com,0,1,0,0,1,0,1,0,1
87,Final Selection Notice – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hr.department@gmail.com,gmail.com,EY,ey.com,0,1,0,0,0,1,0,1,1
88,Remote Job Offer – Machine Learning Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hiring.jobs-netflix@viazohorecruit.com,viazohorecruit.com,Netflix,netflix.com,0,1,0,1,1,1,0,0,1
89,Final Selection Notice – Data Analyst,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hiring.jobs-medtronic@secure-offer-letter.com,secure-offer-letter.com,Medtronic,medtronic.com,0,1,0,1,1,1,0,0,1
90,Final Selection Notice – Data Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",recruiting.lufthansagroup@recruit-portal-mail.com,recruit-portal-mail.com,Lufthansa Group,lufthansagroup.com,0,1,0,0,1,0,1,0,1
91,Invitation to Interview and Assessment – Software Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",hiring.jobs-goldmansachs@yahoo.com,yahoo.com,Goldman Sachs,goldmansachs.com,0,1,0,0,1,0,1,0,1
92,Invitation to Interview and Assessment – MLOps Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",hr.department@hire-now-careers.com,hire-now-careers.com,Intel,intel.com,0,1,0,1,1,1,0,0,1
93,Application Update – Business Analyst,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruiting.kpmg@recruit-portal-mail.com,recruit-portal-mail.com,KPMG,kpmg.com,0,1,1,0,0,1,1,0,1
94,Invitation to Interview and Assessment – Machine Learning Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",careers.cisco@secure-offer-letter.com,secure-offer-letter.com,Cisco,cisco.com,0,1,0,1,1,1,0,0,1
95,Assessment Test Required – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,hrinfo.deloitte@gmail.com,gmail.com,Deloitte,deloitte.com,0,1,0,0,0,1,0,1,1
96,Offer Confirmation – Software Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruitment.team@yahoo.com,yahoo.com,Google,google.com,0,1,1,0,0,1,1,0,1
97,Remote Job Offer – AI Operations Generalist,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,talent.pfizer@recruit-portal-mail.com,recruit-portal-mail.com,Pfizer,pfizer.com,0,1,1,0,0,1,1,0,1
98,Invitation to Interview and Assessment – AI Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,recruitment.team@yahoo.com,yahoo.com,Tesla,tesla.com,0,1,0,0,0,1,1,1,1
99,Final Selection Notice – Business Analyst,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",talent.uber@yahoo.com,yahoo.com,Uber,uber.com,0,1,0,0,1,0,1,0,1
100,Final Selection Notice – Cloud Data Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,recruitment.team@viazohorecruit.com,viazohorecruit.com,PayPal,paypal.com,0,1,0,0,0,1,0,1,1
101,Application Update – Platform Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,recruiting.paypal@viazohorecruit.com,viazohorecruit.com,PayPal,paypal.com,0,1,0,0,0,1,1,1,1
102,Invitation to Interview and Assessment – AI Operations Generalist,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,careers.google@hire-now-careers.com,hire-now-careers.com,Google,google.com,0,1,0,0,0,1,0,1,1
103,Assessment Test Required – MLOps Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,recruiting.oracle@viazohorecruit.com,viazohorecruit.com,Oracle,oracle.com,0,1,1,0,0,1,1,0,1
104,Invitation to Interview and Assessment – Software Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",careers.deloitte@outlook.com,outlook.com,Deloitte,deloitte.com,0,1,0,0,1,0,1,0,1
105,Invitation to Interview and Assessment – Platform Engineer,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",careers.jpmorganchase@recruit-portal-mail.com,recruit-portal-mail.com,JPMorgan Chase,jpmorgan.com,0,1,0,0,1,0,1,0,1
106,Application Update – Software Engineer,Congratulations. You have been selected for a remote position. No interview required. Please confirm today to begin onboarding.,assessment.coordinator@gmail.com,gmail.com,LinkedIn,linkedin.com,0,1,0,0,0,1,0,1,1
107,Invitation to Interview and Assessment – Data Scientist,"To secure your position, confirm your interest and provide your personal details for onboarding. We will share salary and benefits after your confirmation.",hrinfo.deloitte@recruit-portal-mail.com,recruit-portal-mail.com,Deloitte,deloitte.com,0,1,0,0,1,0,1,0,1
108,Invitation to Interview and Assessment – AI Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hr.department@yahoo.com,yahoo.com,Boeing,boeing.com,0,1,0,0,0,1,1,1,1
109,Assessment Test Required – Software Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,hrinfo.intel@yahoo.com,yahoo.com,Intel,intel.com,0,1,0,0,0,1,1,1,1
110,Remote Job Offer – AI Operations Generalist,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",recruiting.deloitte@outlook.com,outlook.com,Deloitte,deloitte.com,0,1,0,1,1,1,0,0,1
111,Immediate Hiring – MLOps Engineer,Your application has been approved. Kindly provide your full address and phone number to proceed. We are hiring urgently.,assessment.coordinator@recruit-portal-mail.com,recruit-portal-mail.com,JPMorgan Chase,jpmorgan.com,0,1,0,0,0,1,1,1,1
112,Offer Confirmation – MLOps Engineer,We reviewed your profile and would like you to take an assessment test to proceed. Reply within 24 hours. Add me on Microsoft Teams using the link provided.,talent.accenture@gmail.com,gmail.com,Accenture,accenture.com,0,1,1,0,0,1,1,0,1
113,Invitation to Interview and Assessment – MLOps Engineer,"We offer competitive pay, sign-on bonus, training incentive and remote workstation stipend. Complete the attached assessment and send your responses by end of day.",careers.google@talent-onboard-now.com,talent-onboard-now.com,Google,google.com,0,1,0,1,1,1,0,0,1
